date,value
2024-07-01,383476.5143659271
2024-07-02,384504.3168313892
2024-07-03,385323.9754015679
2024-07-04,383502.08924202545
2024-07-05,383144.1736356666
2024-07-08,381496.20099270745
2024-07-09,381660.4209232751
2024-07-10,381071.2929727804
2024-07-11,381682.4235900397
2024-07-12,381490.3178249619
2024-07-15,382037.5837607454
2024-07-16,381774.89878380904
2024-07-17,381289.6295146388
2024-07-18,382572.38568534853
2024-07-19,383770.83732307906
2024-07-22,384675.66678641393
2024-07-23,383236.57981127274
2024-07-24,384037.1399732398
2024-07-25,382575.45095985546
2024-07-26,382708.1463295612
2024-07-29,382222.8783347256
2024-07-30,381834.8746451054
2024-07-31,382661.5914631706
2024-08-01,383053.6097189809
2024-08-02,382109.8786357928
2024-08-05,380287.2128691938
2024-08-06,381219.42509675835
2024-08-07,381070.18430063286
2024-08-08,380829.5694649609
2024-08-09,380430.29560905724
2024-08-12,379754.60431330954
2024-08-13,379889.62490323617
2024-08-14,380167.82997138833
2024-08-15,380538.85902865906
2024-08-16,380068.72995582083
2024-08-19,379657.76640474383
2024-08-20,378664.8413622316
2024-08-21,378593.9022828627
2024-08-22,378584.3550163941
2024-08-23,378533.8729860548
2024-08-26,379234.87277586537
2024-08-27,378209.990963231
2024-08-28,377909.4316342798
2024-08-29,376833.49851858616
2024-08-30,377874.0425137813
2024-09-02,376580.3522334347
2024-09-03,378549.61240031215
2024-09-04,377757.5998440637
2024-09-05,377920.9739368296
2024-09-06,376879.5568540597
2024-09-09,377108.7829029094
2024-09-10,377701.24070322793
2024-09-11,376864.62606959126
2024-09-12,377314.54744115064
2024-09-13,376620.75668997
2024-09-18,378184.197364745
2024-09-19,379364.5995430177
2024-09-20,381125.3307255232
2024-09-23,383592.87139969773
2024-09-24,384010.0136473831
2024-09-25,382935.4861901515
2024-09-26,383176.31325384363
2024-09-27,385520.8467495357
2024-09-30,389698.1102158605
2024-10-08,392597.83312155894
2024-10-09,389156.51939360827
2024-10-10,388837.41239841137
2024-10-11,390326.44942107174
2024-10-14,392035.83804053336
2024-10-15,393415.9469555941
2024-10-16,393260.517739575
2024-10-17,394129.36356595816
2024-10-18,396144.630206747
2024-10-21,398001.5112464431
2024-10-22,400489.0161273156
2024-10-23,400596.4312915529
2024-10-24,400988.54288461414
2024-10-25,402800.88264272246
2024-10-28,404161.68792891805
2024-10-29,402661.51167177013
2024-10-30,403575.52305082214
2024-10-31,405442.39938795933
2024-11-01,406775.1909973022
2024-11-04,409259.1973428638
2024-11-05,412368.72224384476
2024-11-06,412248.9927894538
2024-11-07,414357.16025269974
2024-11-08,412762.80686702474
2024-11-11,413483.34202810016
2024-11-12,412557.6490240554
2024-11-13,411681.7745731183
2024-11-14,410309.7456166236
2024-11-15,407702.0126110831
2024-11-18,406150.1695751571
2024-11-19,407078.84672098653
2024-11-20,408077.0886507837
2024-11-21,408014.2341684851
2024-11-22,405917.0041872876
2024-11-25,407241.75459493167
2024-11-26,407034.1140705408
2024-11-27,406833.06168935716
2024-11-28,408863.7903091556
2024-11-29,409952.99712352717
2024-12-02,410940.3643483909
2024-12-03,411440.5964636378
2024-12-04,409980.76035150315
2024-12-05,410895.72866117297
2024-12-06,412265.26314795046
2024-12-09,412118.985034966
2024-12-10,412160.83212549775
2024-12-11,412979.583573572
2024-12-12,414950.8045690553
2024-12-13,413331.35645382974
2024-12-16,414483.5440533752
2024-12-17,410942.50026604364
2024-12-18,411065.956323387
2024-12-19,412678.024208259
2024-12-20,412316.59317381785
2024-12-23,409191.8196058126
2024-12-24,408981.4684851888
2024-12-25,407318.3510026287
2024-12-26,407383.01362659095
2024-12-27,408145.29099270666
2024-12-30,407674.8301981111
2024-12-31,407151.3539645896
2025-01-02,406000.12259140937
2025-01-03,403841.9851717169
2025-01-06,403479.6692515814
2025-01-07,405537.808266777
2025-01-08,406242.9704767376
2025-01-09,405141.0010804615
2025-01-10,403643.70425513154
2025-01-13,403417.9551135575
2025-01-14,405566.9461433724
2025-01-15,404090.3765951864
2025-01-16,402286.8737462468
2025-01-17,401329.31257513276
2025-01-20,400849.2366171638
2025-01-21,401518.4253590407
2025-01-22,399738.7995105488
2025-01-23,398954.39407643274
2025-01-24,398637.75716526236
2025-01-27,398340.3091093471
2025-02-05,400513.1441290239
2025-02-06,400596.6511536131
2025-02-07,400895.50127062603
2025-02-10,402492.9500311915
2025-02-11,402679.15293562517
2025-02-12,402284.9915860632
2025-02-13,403871.13936573226
2025-02-14,403341.118926049
2025-02-17,403341.0646502993
2025-02-18,402930.573774834
2025-02-19,403790.72840872756
2025-02-20,403473.7861239513
2025-02-21,403538.19815063855
2025-02-24,404758.46644771163
2025-02-25,404568.84495163336
2025-02-26,405559.25382236193
2025-02-27,405560.1011731721
2025-02-28,403515.57517813
2025-03-03,403644.49494997633
2025-03-04,403538.4853060543
2025-03-05,403539.89285225887
2025-03-06,403749.5615246163
2025-03-07,402991.7314541695
2025-03-10,403329.97234226356
2025-03-11,403752.2204978596
2025-03-12,404508.319830366
2025-03-13,402777.52339595614
2025-03-14,403380.10142480326
2025-03-17,404827.2714833142
2025-03-18,404539.41068330454
2025-03-19,403802.64622879087
2025-03-20,404094.44480451976
2025-03-21,403687.8903995889
2025-03-24,402270.8440145032
2025-03-25,402350.1703364793
2025-03-26,402625.38953950704
2025-03-27,402338.77390987216
2025-03-28,401501.3388669257
2025-03-31,400135.7843583332
2025-04-01,400412.09913842415
2025-04-02,400073.5477567515
2025-04-03,400374.5618759517
2025-04-07,395385.0725540139
2025-04-08,392450.0627639864
2025-04-09,392227.49641932035
2025-04-10,393958.48896440526
2025-04-11,393607.4738406722
2025-04-14,394336.34799277026
2025-04-15,394749.4476713325
2025-04-16,395025.6009568514
2025-04-17,396693.32288758096
2025-04-18,397841.78832738457
2025-04-21,398084.361748738
2025-04-22,398570.15379972727
2025-04-23,398223.0364834082
2025-04-24,397862.343158726
2025-04-25,398546.7115231259
2025-04-28,397243.5062133781
2025-04-29,397410.90998663765
2025-04-30,397438.1596921022
2025-05-06,398130.16162645794
2025-05-07,398315.1450854342
2025-05-08,399202.29698199435
2025-05-09,399054.275657761
2025-05-12,400024.398131483
2025-05-13,399848.80182999664
2025-05-14,399691.5645599652
2025-05-15,399703.26968940964
2025-05-16,399517.5813184059
2025-05-19,401097.2063748667
2025-05-20,401137.308236833
2025-05-21,401163.8038544947
2025-05-22,401342.7208519369
2025-05-23,400625.8083845337
2025-05-26,400728.40547323186
2025-05-27,401921.93477228686
2025-05-28,401581.0844273009
2025-05-29,401615.09703240235
2025-05-30,401319.0035522249
2025-06-03,401085.90203437937
2025-06-04,401563.8069062894
2025-06-05,401618.2367350723
2025-06-06,401708.31848842505
2025-06-09,401980.8571884509
2025-06-10,401356.1671113554
2025-06-11,402511.3220868275
2025-06-12,402057.49388639885
