id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
25,3,4220.567186521905,270,2.96296,3.8779752428035863,293,2.64735,3.4650387477840168,-1339.396223728766,-0.10710567029917603,0,1,25
26,3,4146.927649080082,311,2.69269,3.462891089535333,341,2.82717,3.6357715269114186,550.5801676318442,0.049306905587708366,0,1,26
27,3,4092.6905793771557,367,2.8628599999999995,3.6335180471432977,397,2.97702,3.778356729671388,459.8096817648826,0.03924362247344684,0,1,27
28,3,4209.101395840572,417,2.89289,3.7760148744746402,447,2.997,3.9118598338336,430.5216716126543,0.03535686169862934,0,1,28
29,3,4170.2852075963765,456,3.02302,3.909435232362739,486,3.1468499999999997,4.069521221712643,508.42746080258235,0.040329442757774385,0,1,29
30,3,4226.459181271138,491,3.1031,4.066998900474573,521,2.82717,3.70547476708944,-1173.9793555557094,-0.08951339099746959,0,1,30
31,4,7113.186013933513,191,2.08208,4.5924789241271355,229,3.24675,7.160678374128977,8272.761197549691,0.5585845377555007,0,1,31
32,4,8445.9202966393,237,2.7327299999999997,7.156240129392245,302,2.53746,6.644977323932212,-1663.0360737780786,-0.07205397866197603,0,1,32
33,4,7228.548168004856,351,2.96296,6.6408587147598155,367,3.97602,8.910974146954707,7307.401174217288,0.34118197807200956,0,1,33
34,4,8175.026017215997,381,3.5135099999999992,8.905451055143203,417,4.62537,11.723191227667611,9068.855785218975,0.3157345864140772,0,1,34
35,4,9414.296669146586,520,4.014009999999999,11.715925101605535,540,3.88,0.0,-1273.3258217339317,-0.033695601717500676,0,0,35
36,5,1643.93632322019,12,9.008999999999999,4.5924789241271355,24,7.73226,3.9418263531205895,-2107.41356658539,-0.1422945259557881,0,1,36
37,5,1532.7018229417035,293,8.288279999999999,3.9393831781653716,303,7.50249,3.5660248308765894,-1211.8871734584015,-0.09539818250586068,0,1,37
38,5,1176.2776424590131,431,9.769759999999998,3.5638145806588,461,9.91008,3.6149817170838676,157.87648249210963,0.01373800607534951,0,1,38
39,5,1258.1772623203965,516,9.25925,3.6127411230027064,520,8.35164,3.25874150083651,-1148.8057476784543,-0.09861181610578415,0,1,39
40,6,3108.282964071788,362,4.764759999999999,4.5924789241271355,392,4.78521,4.612183883976848,54.35972380716738,0.003670419158761277,0,1,40
